datetime,portfolio_value,cash,return
2023-12-15 09:30:00-05:00,100000.0,100000.0,
2023-12-16 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-18 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-19 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-20 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-21 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-22 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-23 09:30:00-05:00,100000.0,149755.29846191406,0.0
2023-12-26 09:30:00-05:00,99977.9476928711,149755.29846191406,-0.00022052307128905824
2023-12-27 09:30:00-05:00,99834.0982055664,149755.29846191406,-0.001438812164324399
2023-12-28 09:30:00-05:00,99682.89794921875,149755.29846191406,-0.0015145151713227278
2023-12-29 09:30:00-05:00,99723.84948730469,149755.29846191406,0.00041081809345877573
2023-12-30 09:30:00-05:00,99723.84948730469,149755.29846191406,0.0
